explotacion;tipo;especie;clasif;municipio;provincia;oca;huso;longitud_utm;latitud_utm;sistema_productivo;capacidad_productiva;criterio_sostenibilidad;capacidad
ES220010001001;Producción y reproducción;Abejas;Producción productos apícolas ;Abiego;HUESCA;BARBASTRO;;;;Trashumante;No Profesional;;20
ES220010001002;Producción y reproducción;Abejas;Producción productos apícolas ;Abiego;HUESCA;BARBASTRO;;;;Trashumante;No Profesional;Convencional;50
ES220010001003;Producción y reproducción;Abejas;Producción productos apícolas ;Abiego;HUESCA;BARBASTRO;;;;Trashumante;No Profesional;Convencional;149
ES220010001006;Producción y reproducción;Abejas;Producción productos apícolas ;Abiego;HUESCA;BARBASTRO;;;;Trashumante;Profesional;;150
ES220010001015;Producción y reproducción;Abejas;Producción productos apícolas ;Abiego;HUESCA;BARBASTRO;;;;Trashumante;No Profesional;Convencional;110
ES220020000602;Producción y reproducción;Abejas;Producción productos apícolas ;Abizanda;HUESCA;BOLTAÑA;;;;Trashumante;Profesional;;150
ES220020001035;Producción y reproducción;Abejas;Mixta;Abizanda;HUESCA;BOLTAÑA;;;;Trashumante;No Profesional;Convencional;300
ES220040001001;Producción y reproducción;Abejas;Producción productos apícolas ;Agüero;HUESCA;AYERBE;30;682313;4691385;Trashumante;No Profesional;Convencional;25
ES220040001003;Producción y reproducción;Abejas;Producción productos apícolas ;Agüero;HUESCA;AYERBE;;;;Trashumante;No Profesional;;25
ES220040001051;Producción y reproducción;Abejas;Producción productos apícolas ;Agüero;HUESCA;AYERBE;;;;Trashumante;No Profesional;Convencional;100
ES220040001160;Producción y reproducción;Abejas;Producción productos apícolas ;Agüero;HUESCA;AYERBE;;;;Trashumante;No Profesional;Convencional;70
ES220040001235;Producción y reproducción;Abejas;Producción productos apícolas ;Agüero;HUESCA;AYERBE;;;;Trashumante;No Profesional;Convencional;50
ES220070001463;Producción y reproducción;Abejas;Mixta;Albalate de Cinca;HUESCA;MONZÓN;;;;Trashumante;No Profesional;Convencional;60
ES220080001421;Producción y reproducción;Abejas;Producción productos apícolas ;Albalatillo;HUESCA;SARIÑENA;;;;Trashumante;No Profesional;;20
ES220090001001;Producción y reproducción;Abejas;Producción productos apícolas ;Albelda;HUESCA;TAMARITE DE LITERA;;;;Estante;No Profesional;;100
ES220090001358;Producción y reproducción;Abejas;Producción productos apícolas ;Albelda;HUESCA;TAMARITE DE LITERA;;;;Trashumante;No Profesional;Convencional;480
ES220140001001;Producción y reproducción;Abejas;Producción productos apícolas ;Alcalá de Gurrea;HUESCA;HUESCA;;;;Trashumante;No Profesional;Convencional;60
ES220150001001;Producción y reproducción;Abejas;Producción productos apícolas ;Alcalá del Obispo;HUESCA;HUESCA;;;;Trashumante;Profesional;Convencional;150
ES220150001002;Producción y reproducción;Abejas;Producción productos apícolas ;Alcalá del Obispo;HUESCA;HUESCA;30;729100;4658900;Trashumante;No Profesional;Convencional;25
ES220160001001;Producción y reproducción;Abejas;Mixta;Alcampell;HUESCA;TAMARITE DE LITERA;;;;Trashumante;No Profesional;Convencional;50
ES220160001299;Producción y reproducción;Abejas;Mixta;Alcampell;HUESCA;TAMARITE DE LITERA;;;;Trashumante;No Profesional;Convencional;75
ES220170001006;Producción y reproducción;Abejas;Producción productos apícolas ;Alcolea de Cinca;HUESCA;MONZÓN;;;;Estante;No Profesional;Convencional;30
ES220170001007;Producción y reproducción;Abejas;Producción productos apícolas ;Alcolea de Cinca;HUESCA;MONZÓN;;;;Trashumante;No Profesional;;25
ES220180001071;Producción y reproducción;Abejas;Mixta;Alcubierre;HUESCA;SARIÑENA;;;;Trashumante;No Profesional;Convencional;25
ES220180001079;Producción y reproducción;Abejas;Mixta;Alcubierre;HUESCA;SARIÑENA;;;;Trashumante;No Profesional;Convencional;75
ES220180001488;Producción y reproducción;Abejas;Mixta;Alcubierre;HUESCA;SARIÑENA;;;;Trashumante;No Profesional;Convencional;125
ES220200001001;Producción y reproducción;Abejas;Producción productos apícolas ;Alfántega;HUESCA;MONZÓN;;;;Estante;No Profesional;Convencional;20
ES220200001002;Producción y reproducción;Abejas;Producción productos apícolas ;Alfántega;HUESCA;MONZÓN;;;;Trashumante;No Profesional;;20
ES220210001001;Producción y reproducción;Abejas;Producción productos apícolas ;Almudévar;HUESCA;HUESCA;;;;Trashumante;Profesional;;450
