explotacion;tipo;especie;clasif;municipio;provincia;oca;huso;longitud_utm;latitud_utm;sistema_productivo;capacidad_productiva;criterio_sostenibilidad;capacidad_menos_4meses;capacidad_4_y_12meses;capacidad_machos;capacidad_hembras;capacidad
ES220010000602;Producción y reproducción;Caprino;Reproducción para producción de carne;Abiego;HUESCA;BARBASTRO;30;745340;4672083;;;Convencional;;;;10;10
ES220010000602;Producción y reproducción;Ovino;Reproducción para producción de carne;Abiego;HUESCA;BARBASTRO;30;745338;4672055;;;Convencional;;;;700;700
ES220010000609;Producción y reproducción;Ovino;Reproducción para producción de carne;Abiego;HUESCA;BARBASTRO;30;745248;4672090;;;Convencional;;;;450;450
ES220010000610;Producción y reproducción;Caprino;Reproducción para producción de carne;Abiego;HUESCA;BARBASTRO;30;745128;4672295;;;Convencional;;;;10;10
ES220010000610;Producción y reproducción;Ovino;Reproducción para producción de carne;Abiego;HUESCA;BARBASTRO;30;745128;4672295;;;Convencional;;;;216;216
ES220010000617;Producción y reproducción;Ovino;Reproducción para producción de carne;Abiego;HUESCA;BARBASTRO;30;744503;4673105;;;Convencional;;;;700;700
ES220010000619;Producción y reproducción;Ovino;Reproducción para producción de carne;Abiego;HUESCA;BARBASTRO;30;741654;4668820;;;;;;;900;900
ES220010000619;Producción y reproducción;Caprino;Reproducción para producción de carne;Abiego;HUESCA;BARBASTRO;30;741654;4668820;;;;;;;10;10
ES220017200002;Pasto;Ovino;Reproducción para producción de carne;Abiego;HUESCA;BARBASTRO;30;739856;4667718;;;Convencional;;;;300;300
ES220020000602;Producción y reproducción;Caprino;Reproducción para producción de carne;Abizanda;HUESCA;BOLTAÑA;30;761367;4685703;;;Convencional;;;;10;10
ES220020000602;Producción y reproducción;Ovino;Reproducción para producción de carne;Abizanda;HUESCA;BOLTAÑA;30;761372;4685699;;;Convencional;;;;1000;1000
ES220020000606;Producción y reproducción;Ovino;Reproducción para producción de carne;Abizanda;HUESCA;BOLTAÑA;30;763693;4682363;;;Convencional;;;;934;934
ES220020000613;Producción y reproducción;Ovino;Reproducción para producción de carne;Abizanda;HUESCA;BOLTAÑA;30;764849;4681170;;;Convencional;;;;75;75
ES220020000613;Producción y reproducción;Caprino;Reproducción para producción de carne;Abizanda;HUESCA;BOLTAÑA;30;764892;4681089;;;Convencional;;;;10;10
ES220027200004;Pasto;Ovino;Reproducción para producción de carne;Abizanda;HUESCA;BOLTAÑA;30;761817;4685362;;;;;;;200;200
ES220027200005;Pasto;Ovino;Reproducción para producción de carne;Abizanda;HUESCA;BOLTAÑA;30;762970;4682409;;;;;;;1000;1000
ES220027200005;Pasto;Caprino;;Abizanda;HUESCA;BOLTAÑA;30;762970;4682409;;;;;;;12;12
ES220030000612;Producción y reproducción;Caprino;Reproducción para producción de carne;Adahuesca;HUESCA;BARBASTRO;30;747008;4670319;;;Convencional;;;;10;10
ES220030000612;Producción y reproducción;Ovino;Reproducción para producción de carne;Adahuesca;HUESCA;BARBASTRO;30;747006;4670292;;;Convencional;;;;635;635
ES220030000614;Producción y reproducción;Ovino;Reproducción para producción de carne;Adahuesca;HUESCA;BARBASTRO;30;747865;4669804;;;Convencional;;;;1120;1120
ES220030000614;Producción y reproducción;Caprino;Reproducción para producción de carne;Adahuesca;HUESCA;BARBASTRO;30;747865;4669804;;;Convencional;;;;10;10
ES220037200001;Pasto;Caprino;Reproducción para producción de carne;Adahuesca;HUESCA;BARBASTRO;30;742182;4678497;;;;;;;10;10
ES220037200001;Pasto;Ovino;Reproducción para producción de carne;Adahuesca;HUESCA;BARBASTRO;30;742182;4678497;;;;;;;770;770
