explotacion;tipo;especie;clasif;municipio;provincia;oca;huso;longitud_utm;latitud_utm;sistema_productivo;capacidad_productiva;criterio_sostenibilidad;capacidad_cebo;capacidad_lechones;capacidad_recria;capacidad_cerdas;capacidad_reposicion;capacidad_verracos;capacidad
ES220010000014;Producción y reproducción;Cerdos;Producción de lechones;Abiego;HUESCA;BARBASTRO;30;744539;4672000;Intensivo;Grupo Segundo;Convencional;;;;750;96;1;847
ES220010000030;Producción y reproducción;Cerdos;Cebo o Cebadero;Abiego;HUESCA;BARBASTRO;30;742740;4667000;Intensivo;Grupo Segundo;Convencional;1820;;;;;;1820
ES220010000031;Producción y reproducción;Cerdos;Cebo o Cebadero;Abiego;HUESCA;BARBASTRO;30;742420;4666450;Intensivo;Grupo Segundo;Convencional;1728;;;;;;1728
ES220010000032;Producción y reproducción;Cerdos;Cebo o Cebadero;Abiego;HUESCA;BARBASTRO;30;741721;4665507;Intensivo;Grupo Tercero;Convencional;3000;;;;;;3000
ES220010000033;Producción y reproducción;Cerdos;Multiplicación;Abiego;HUESCA;BARBASTRO;30;740132;4668080;Intensivo;Grupo Segundo;Convencional;;;;749;;;749
ES220010000034;Producción y reproducción;Cerdos;Cebo o Cebadero;Abiego;HUESCA;BARBASTRO;30;744979;4670565;Intensivo;Grupo Segundo;Convencional;4000;;;;;;4000
ES220010000035;Producción y reproducción;Cerdos;Cebo o Cebadero;Abiego;HUESCA;BARBASTRO;30;745331;4673404;Intensivo;Grupo Tercero;;4023;;;;;;4023
ES220020000020;Producción y reproducción;Cerdos;Recría de reproductores;Abizanda;HUESCA;BOLTAÑA;30;761834;4686140;Intensivo;Grupo Primero;Convencional;;;3150;;;;3150
ES220020000022;Producción y reproducción;Cerdos;Recría de reproductores;Abizanda;HUESCA;BOLTAÑA;30;765107;4679831;Intensivo;Grupo Segundo;Convencional;;;4816;;;;4816
ES220030000001;Producción y reproducción;Cerdos;Cebo o Cebadero;Adahuesca;HUESCA;BARBASTRO;30;745241;4668383;Intensivo;Grupo Segundo;Convencional;1999;;;;;;1999
ES220030000012;Producción y reproducción;Cerdos;Producción de lechones;Adahuesca;HUESCA;BARBASTRO;30;746000;4671215;Intensivo;Grupo Primero;Convencional;;;;604;;;604
ES220070000007;Producción y reproducción;Cerdos;Cebo o Cebadero;Albalate de Cinca;HUESCA;MONZÓN;30;762425;4624900;Intensivo;Grupo Primero;Convencional;720;;;;;;720
ES220070000031;Producción y reproducción;Cerdos;Cebo o Cebadero;Albalate de Cinca;HUESCA;MONZÓN;30;761770;4623030;Intensivo;Grupo Segundo;Convencional;1040;;;;;;1040
ES220070000034;Producción y reproducción;Cerdos;Cebo o Cebadero;Albalate de Cinca;HUESCA;MONZÓN;30;764201;4625180;Intensivo;Grupo Segundo;Convencional;2496;;;;;;2496
ES220070000042;Producción y reproducción;Cerdos;Cebo o Cebadero;Albalate de Cinca;HUESCA;MONZÓN;30;765428;4625379;Intensivo;Grupo Segundo;Convencional;2000;;;;;;2000
ES220070000044;Producción y reproducción;Cerdos;Cebo o Cebadero;Albalate de Cinca;HUESCA;MONZÓN;30;763105;4625860;Intensivo;Grupo Segundo;Convencional;2000;;;;;;2000
ES220070000045;Producción y reproducción;Cerdos;Cebo o Cebadero;Albalate de Cinca;HUESCA;MONZÓN;30;762641;4622357;Intensivo;Grupo Segundo;Convencional;1260;;;;;;1260
ES220070000046;Producción y reproducción;Cerdos;Cebo o Cebadero;Albalate de Cinca;HUESCA;MONZÓN;30;761500;4627935;Intensivo;Grupo Tercero;Convencional;5123;;;;;;5123
ES220070000047;Producción y reproducción;Cerdos;Transición de lechones;Albalate de Cinca;HUESCA;MONZÓN;30;763657;4626767;Intensivo;Grupo Segundo;;;6528;;;;;6528
ES220070000048;Producción y reproducción;Cerdos;Cebo o Cebadero;Albalate de Cinca;HUESCA;MONZÓN;30;763478;4624004;Intensivo;Grupo Segundo;Convencional;1999;;;;;;1999
ES220070000049;Producción y reproducción;Cerdos;Producción de lechones;Albalate de Cinca;HUESCA;MONZÓN;30;765179;4627720;Intensivo;Grupo Tercero;;;;;2880;;;2880
ES220070000050;Producción y reproducción;Cerdos;Cebo o Cebadero;Albalate de Cinca;HUESCA;MONZÓN;30;762568;4628573;Intensivo;Grupo Segundo;Convencional;4876;;;;;;4876
ES220070000051;Producción y reproducción;Cerdos;Cebo o Cebadero;Albalate de Cinca;HUESCA;MONZÓN;30;762450;4627050;Intensivo;Grupo Tercero;;5096;;;;;;5096
ES220070000052;Producción y reproducción;Cerdos;Cebo o Cebadero;Albalate de Cinca;HUESCA;MONZÓN;30;761549;4625550;Intensivo;Grupo Segundo;Convencional;4432;;;;;;4432
ES220070000053;Producción y reproducción;Cerdos;Cebo o Cebadero;Albalate de Cinca;HUESCA;MONZÓN;30;762270;4629723;Intensivo;Grupo Segundo;Convencional;1999;;;;;;1999
ES220070000054;Producción y reproducción;Cerdos;Cebo o Cebadero;Albalate de Cinca;HUESCA;MONZÓN;30;761220;4629040;Intensivo;Grupo Segundo;;1999;;;;;;1999
ES220070000055;Producción y reproducción;Cerdos;Cebo o Cebadero;Albalate de Cinca;HUESCA;MONZÓN;30;760550;4627076;Intensivo;Grupo Tercero;Convencional;7200;;;;;;7200
ES220070000056;Producción y reproducción;Cerdos;Producción de lechones;Albalate de Cinca;HUESCA;MONZÓN;30;763759;4628013;Intensivo;Grupo Tercero;;;;;2726;320;5;3051
ES220070000057;Producción y reproducción;Cerdos;Cebo o Cebadero;Albalate de Cinca;HUESCA;MONZÓN;30;763456;4629236;Intensivo;Grupo Segundo;;1999;;;;;;1999
ES220080000003;Producción y reproducción;Cerdos;Transición de lechones;Albalatillo;HUESCA;SARIÑENA;30;736756;4626797;Intensivo;Grupo Segundo;Convencional;;11994;;;;;11994
ES220080000005;Producción y reproducción;Cerdos;Transición de lechones;Albalatillo;HUESCA;SARIÑENA;30;736235;4625072;Intensivo;Grupo Primero;Convencional;;5014;;;;;5014
ES220080000006;Producción y reproducción;Cerdos;Cebo o Cebadero;Albalatillo;HUESCA;SARIÑENA;30;737107;4623010;Intensivo;Grupo Segundo;Convencional;2000;;;;;;2000
ES220080000007;Producción y reproducción;Cerdos;Producción de lechones;Albalatillo;HUESCA;SARIÑENA;30;737130;4625430;Intensivo;Grupo Segundo;Convencional;;;;750;;;750
ES220080000008;Producción y reproducción;Cerdos;Cebo o Cebadero;Albalatillo;HUESCA;SARIÑENA;30;736995;4623545;Intensivo;Grupo Segundo;Convencional;1040;;;;;;1040
ES220080000010;Producción y reproducción;Cerdos;Producción de lechones;Albalatillo;HUESCA;SARIÑENA;30;735582;4623968;Intensivo;Grupo Tercero;Convencional;;11968;;2880;;;14848
ES220080000013;Producción y reproducción;Cerdos;Producción de lechones;Albalatillo;HUESCA;SARIÑENA;30;735984;4622693;Intensivo;Grupo Tercero;;;;;3307;255;5;3567
ES220090000003;Producción y reproducción;Cerdos;Tipo mixto;Albelda;HUESCA;TAMARITE DE LITERA;30;789860;4636180;Intensivo;Grupo Primero;Convencional;1400;;0;235;;;1635
ES220090000006;Producción y reproducción;Cerdos;Cebo o Cebadero;Albelda;HUESCA;TAMARITE DE LITERA;30;792910;4637833;Intensivo;Grupo Primero;Convencional;470;;;;;;470
ES220090000008;Producción y reproducción;Cerdos;Cebo o Cebadero;Albelda;HUESCA;TAMARITE DE LITERA;30;786928;4639713;Intensivo;Grupo Primero;Convencional;540;;;;;;540
ES220090000011;Producción y reproducción;Cerdos;Cebo o Cebadero;Albelda;HUESCA;TAMARITE DE LITERA;30;787380;4638368;Intensivo;Grupo Primero;Convencional;490;;;;;;490
ES220090000013;Producción y reproducción;Cerdos;Cebo o Cebadero;Albelda;HUESCA;TAMARITE DE LITERA;30;790880;4639100;Intensivo;Grupo Segundo;Convencional;2800;;;;;;2800
ES220090000016;Producción y reproducción;Cerdos;Cebo o Cebadero;Albelda;HUESCA;TAMARITE DE LITERA;30;789449;4637788;Intensivo;Grupo Primero;Convencional;750;;;;;;750
ES220090000026;Producción y reproducción;Cerdos;Cebo o Cebadero;Albelda;HUESCA;TAMARITE DE LITERA;30;792100;4636165;Intensivo;Grupo Segundo;Convencional;1985;;;;;;1985
ES220090000029;Producción y reproducción;Cerdos;Cebo o Cebadero;Albelda;HUESCA;TAMARITE DE LITERA;30;791492;4638267;Intensivo;Grupo Segundo;Convencional;1600;;;;;;1600
ES220090000032;Producción y reproducción;Cerdos;Cebo o Cebadero;Albelda;HUESCA;TAMARITE DE LITERA;30;787801;4637553;Intensivo;Grupo Primero;Convencional;900;;;;;;900
ES220090000033;Producción y reproducción;Cerdos;Cebo o Cebadero;Albelda;HUESCA;TAMARITE DE LITERA;30;787952;4637448;Intensivo;Grupo Segundo;Convencional;1179;;;;;;1179
ES220090000035;Producción y reproducción;Cerdos;Cebo o Cebadero;Albelda;HUESCA;TAMARITE DE LITERA;30;787227;4639839;Intensivo;Grupo Primero;Convencional;256;;;;;;256
ES220090000037;Producción y reproducción;Cerdos;Cebo o Cebadero;Albelda;HUESCA;TAMARITE DE LITERA;30;792485;4638371;Intensivo;Grupo Segundo;Convencional;2330;;;;;;2330
ES220090000043;Producción y reproducción;Cerdos;Cebo o Cebadero;Albelda;HUESCA;TAMARITE DE LITERA;30;787035;4637568;Intensivo;Grupo Primero;Convencional;900;;;;;;900
ES220090000044;Producción y reproducción;Cerdos;Cebo o Cebadero;Albelda;HUESCA;TAMARITE DE LITERA;30;788016;4636896;Intensivo;Grupo Primero;Convencional;600;;;;;;600
