explotacion;tipo;especie;clasif;municipio;provincia;oca;huso;longitud_utm;latitud_utm;criterio_sostenibilidad;capacidad
ES220010000400;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Abiego;HUESCA;BARBASTRO;30;742607;4666589;Convencional;350
ES220020000400;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Abizanda;HUESCA;BOLTAÑA;30;763358;4684836;Convencional;150
ES220020000401;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Abizanda;HUESCA;BOLTAÑA;30;763149;4684897;Convencional;40
ES220020000402;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Abizanda;HUESCA;BOLTAÑA;30;761237;4686067;;300
ES220027000000;Pasto;Bóvidos;;Abizanda;HUESCA;BOLTAÑA;30;764299;4684756;Convencional;
ES220027000001;Pasto;Bóvidos;Reproducción para producción de carne;Abizanda;HUESCA;BOLTAÑA;30;764640;4686008;Convencional;50
ES220030000401;Producción y reproducción;Bóvidos;Reproducción para producción mixta;Adahuesca;HUESCA;BARBASTRO;30;742187;4678707;Convencional;100
ES220060000402;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Aisa;HUESCA;JACA;30;695097;4728572;Convencional;60
ES220060000403;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Aisa;HUESCA;JACA;30;694965;4728635;Convencional;127
ES220060000405;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Aisa;HUESCA;JACA;30;694510;4725483;Convencional;100
ES220060000406;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Aisa;HUESCA;JACA;30;695318;4728358;Convencional;40
ES220067000000;Pasto;Bóvidos;;Aisa;HUESCA;JACA;30;697460;4735037;Convencional;5000
ES220067000001;Pasto;Bóvidos;;Aisa;HUESCA;JACA;30;695593;4726790;Convencional;120
ES220067000002;Pasto;Bóvidos;;Aisa;HUESCA;JACA;30;697593;4732390;Convencional;1153
ES220067000003;Pasto;Bóvidos;;Aisa;HUESCA;JACA;30;701293;4739990;Convencional;50
ES220067000004;Pasto;Bóvidos;;Aisa;HUESCA;JACA;30;694093;4725390;Convencional;65
ES220067000005;Pasto;Bóvidos;Reproducción para producción de carne;Aisa;HUESCA;JACA;30;695318;4728352;Convencional;40
ES220070000401;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albalate de Cinca;HUESCA;MONZÓN;30;765396;4625967;Convencional;400
ES220070000402;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albalate de Cinca;HUESCA;MONZÓN;30;763554;4625335;Convencional;330
ES220070000403;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albalate de Cinca;HUESCA;MONZÓN;30;761216;4626607;Convencional;250
ES220070000404;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Albalate de Cinca;HUESCA;MONZÓN;30;762235;4624912;Convencional;200
ES220070000408;Producción y reproducción;Bóvidos;Reproducción para producción de leche;Albalate de Cinca;HUESCA;MONZÓN;30;763046;4625301;Convencional;360
ES220070000410;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Albalate de Cinca;HUESCA;MONZÓN;30;761718;4626000;Convencional;280
ES220070000411;Producción y reproducción;Bóvidos;Reproducción para producción de leche;Albalate de Cinca;HUESCA;MONZÓN;30;763421;4623825;Convencional;175
